Algorithm,DataSize(KB),EncryptionTime(ms),DecryptionTime(ms),Round
aes-256-cbc,1,0.09,0.02,1
aes-256-cbc,2,0.03,0.01,1
aes-256-cbc,4,0.03,0.02,1
aes-256-cbc,8,0.06,0.04,1
aes-256-cbc,16,0.07,0.09,1
aes-256-cbc,32,0.11,0.11,1
aes-256-cbc,64,0.19,0.22,1
aes-256-cbc,128,0.36,0.38,1
aes-256-cbc,256,0.74,0.84,1
aes-256-cbc,512,1.25,1.92,1
aes-256-cbc,1024,2.37,3.86,1
aes-256-cbc,2048,4.37,7.35,1
aes-256-cbc,4096,8.45,13.33,1
aes-256-cbc,8192,16.82,28.81,1
aes-256-cbc,16384,34.10,51.31,1
aes-256-cbc,32768,67.51,103.36,1
aes-192-cbc,1,0.08,0.03,1
aes-192-cbc,2,0.03,0.01,1
aes-192-cbc,4,0.02,0.02,1
aes-192-cbc,8,0.03,0.02,1
aes-192-cbc,16,0.04,0.04,1
aes-192-cbc,32,0.09,0.08,1
aes-192-cbc,64,0.17,0.16,1
aes-192-cbc,128,0.32,0.36,1
aes-192-cbc,256,0.66,0.83,1
aes-192-cbc,512,1.02,1.67,1
aes-192-cbc,1024,2.27,3.54,1
aes-192-cbc,2048,4.19,6.49,1
aes-192-cbc,4096,8.98,13.40,1
aes-192-cbc,8192,15.65,26.48,1
aes-192-cbc,16384,31.81,55.53,1
aes-192-cbc,32768,63.54,102.13,1
aes-512-sim,1,0.07,0.03,1
aes-512-sim,2,0.06,0.03,1
aes-512-sim,4,0.05,0.03,1
aes-512-sim,8,0.06,0.05,1
aes-512-sim,16,0.10,0.15,1
aes-512-sim,32,0.22,0.16,1
aes-512-sim,64,0.48,0.41,1
aes-512-sim,128,0.93,0.70,1
aes-512-sim,256,1.86,1.66,1
aes-512-sim,512,3.36,3.05,1
aes-512-sim,1024,7.01,6.69,1
aes-512-sim,2048,13.98,10.57,1
aes-512-sim,4096,25.53,22.42,1
aes-512-sim,8192,51.59,43.96,1
aes-512-sim,16384,102.13,86.50,1
aes-512-sim,32768,209.02,166.74,1
aes-256-cbc,1,0.14,0.05,2
aes-256-cbc,2,0.03,0.01,2
aes-256-cbc,4,0.02,0.02,2
aes-256-cbc,8,0.04,0.03,2
aes-256-cbc,16,0.05,0.04,2
aes-256-cbc,32,0.07,0.07,2
aes-256-cbc,64,0.22,0.19,2
aes-256-cbc,128,0.33,0.38,2
aes-256-cbc,256,0.65,0.79,2
aes-256-cbc,512,1.13,1.82,2
aes-256-cbc,1024,2.32,4.14,2
aes-256-cbc,2048,4.51,7.01,2
aes-256-cbc,4096,8.28,13.66,2
aes-256-cbc,8192,17.75,26.87,2
aes-256-cbc,16384,34.36,52.91,2
aes-256-cbc,32768,66.16,106.61,2
aes-192-cbc,1,0.09,0.07,2
aes-192-cbc,2,0.04,0.02,2
aes-192-cbc,4,0.03,0.02,2
aes-192-cbc,8,0.05,0.04,2
aes-192-cbc,16,0.08,0.07,2
aes-192-cbc,32,0.12,0.14,2
aes-192-cbc,64,0.25,0.26,2
aes-192-cbc,128,0.37,0.40,2
aes-192-cbc,256,0.67,0.81,2
aes-192-cbc,512,1.03,1.63,2
aes-192-cbc,1024,2.22,3.37,2
aes-192-cbc,2048,4.21,6.78,2
aes-192-cbc,4096,8.78,13.07,2
aes-192-cbc,8192,16.13,27.20,2
aes-192-cbc,16384,31.78,53.70,2
aes-192-cbc,32768,65.00,104.43,2
aes-512-sim,1,0.10,0.06,2
aes-512-sim,2,0.05,0.02,2
aes-512-sim,4,0.06,0.03,2
aes-512-sim,8,0.07,0.05,2
aes-512-sim,16,0.10,0.09,2
aes-512-sim,32,0.22,0.15,2
aes-512-sim,64,0.48,0.37,2
aes-512-sim,128,0.86,0.66,2
aes-512-sim,256,1.86,1.67,2
aes-512-sim,512,3.62,2.66,2
aes-512-sim,1024,6.85,6.57,2
aes-512-sim,2048,14.06,10.14,2
aes-512-sim,4096,25.86,23.64,2
aes-512-sim,8192,53.59,43.91,2
aes-512-sim,16384,101.84,89.81,2
aes-512-sim,32768,203.72,169.32,2
aes-256-cbc,1,0.10,0.02,3
aes-256-cbc,2,0.03,0.02,3
aes-256-cbc,4,0.04,0.02,3
aes-256-cbc,8,0.04,0.03,3
aes-256-cbc,16,0.05,0.04,3
aes-256-cbc,32,0.08,0.09,3
aes-256-cbc,64,0.16,0.16,3
aes-256-cbc,128,0.34,0.39,3
aes-256-cbc,256,0.75,0.92,3
aes-256-cbc,512,1.35,2.06,3
aes-256-cbc,1024,2.30,4.20,3
aes-256-cbc,2048,4.40,7.05,3
aes-256-cbc,4096,8.78,13.32,3
aes-256-cbc,8192,17.62,29.59,3
aes-256-cbc,16384,35.07,55.13,3
aes-256-cbc,32768,68.90,119.72,3
aes-192-cbc,1,0.05,0.01,3
aes-192-cbc,2,0.04,0.02,3
aes-192-cbc,4,0.03,0.02,3
aes-192-cbc,8,0.04,0.03,3
aes-192-cbc,16,0.05,0.04,3
aes-192-cbc,32,0.07,0.08,3
aes-192-cbc,64,0.16,0.19,3
aes-192-cbc,128,0.34,0.41,3
aes-192-cbc,256,0.64,0.82,3
aes-192-cbc,512,1.02,1.64,3
aes-192-cbc,1024,2.19,3.52,3
aes-192-cbc,2048,4.12,6.56,3
aes-192-cbc,4096,9.21,14.57,3
aes-192-cbc,8192,15.98,26.48,3
aes-192-cbc,16384,31.73,57.27,3
aes-192-cbc,32768,64.01,111.15,3
aes-512-sim,1,0.11,0.05,3
aes-512-sim,2,0.05,0.02,3
aes-512-sim,4,0.05,0.03,3
aes-512-sim,8,0.09,0.05,3
aes-512-sim,16,0.10,0.09,3
aes-512-sim,32,0.20,0.15,3
aes-512-sim,64,0.51,0.38,3
aes-512-sim,128,1.13,0.79,3
aes-512-sim,256,2.31,1.79,3
aes-512-sim,512,3.49,2.82,3
aes-512-sim,1024,6.82,6.42,3
aes-512-sim,2048,13.38,10.56,3
aes-512-sim,4096,25.25,23.08,3
aes-512-sim,8192,53.02,45.31,3
aes-512-sim,16384,103.59,88.43,3
aes-512-sim,32768,211.97,171.16,3
