OperationType,RequestRate,Latency(ms),Throughput(tx/s),Round
accessRequest,1,28.16,35.43,1
accessRequest,2,50.53,3.22,1
accessRequest,4,48.46,3.94,1
accessRequest,8,51.72,5.65,1
accessRequest,16,45.02,8.22,1
accessRequest,32,45.46,10.89,1
accessRequest,64,45.25,12.39,1
accessRequest,128,605.79,192.18,1
accessRequest,256,1288.69,184.97,1
accessRequest,512,2278.87,206.52,1
accessRequest,1024,4362.81,219.63,1
policyVerification,1,13.87,71.46,1
policyVerification,2,19.54,3.49,1
policyVerification,4,24.90,4.45,1
policyVerification,8,27.77,6.71,1
policyVerification,16,21.58,10.21,1
policyVerification,32,23.56,13.71,1
policyVerification,64,26.33,15.88,1
policyVerification,128,608.69,176.78,1
policyVerification,256,1234.33,172.69,1
policyVerification,512,2410.73,178.69,1
policyVerification,1024,3422.52,232.69,1
enforcement,1,19.74,49.85,1
enforcement,2,28.99,3.51,1
enforcement,4,23.16,4.48,1
enforcement,8,25.59,6.91,1
enforcement,16,35.03,8.58,1
enforcement,32,24.31,13.28,1
enforcement,64,22.71,16.96,1
enforcement,128,352.63,295.56,1
enforcement,256,743.19,283.36,1
enforcement,512,1314.33,313.82,1
enforcement,1024,2519.71,329.63,1
